source_id,source_name,follower_name,follower_id,location,description
1554768110963478528,42xWeeD,C9xMggNjYe4e6GI,1396605027532238848,,
1554768110963478528,42xWeeD,Benz23625920,1351745154344919042,,
1554768110963478528,42xWeeD,Doy1237,1417122611482427395,,
1554768110963478528,42xWeeD,HighBerHerb420,1568813694355918848,"Bangkok, Thailand","Cannabis shop 
Exotic, Top-shelf, mid-grade,low-grade
ส่ง+50฿"
1554768110963478528,42xWeeD,phlab_thxng,1571090237526536193,,
1554768110963478528,42xWeeD,Niwat_NY,1567343778855546880,,
1554768110963478528,42xWeeD,gjakosowl1,1316673335401410560,ประเทศไทย,
1554768110963478528,42xWeeD,_teenoiiii,1460893645435904011,,
1554768110963478528,42xWeeD,nologin_s,1527687522041872387,,R
1554768110963478528,42xWeeD,1maillion,1567752491022024706,,
1554768110963478528,42xWeeD,m2SJhWxIgdtfiCL,1447379143113334785,Pathum,
1554768110963478528,42xWeeD,L3f5sNPIdoB4nRl,1122370747182092288,,
1554768110963478528,42xWeeD,Wijaila,1467805559676043264,,
1554768110963478528,42xWeeD,bookbook2book,1448292974928949257,,
1554768110963478528,42xWeeD,j11123566788,1537575304520052736,,
1554768110963478528,42xWeeD,auttamalai,1563500270813736960,,
1554768110963478528,42xWeeD,Teerasit1647,1076116327050358784,,good byes
1554768110963478528,42xWeeD,BlinkMyJennie,1028737829042454528,,
1554768110963478528,42xWeeD,cushkkkkOG,1567496032820527104,,
1554768110963478528,42xWeeD,Gajub8,1567357055929057281,,
1554768110963478528,42xWeeD,vickynamtarn,1550589052227035136,Amphoe Mueang Nakhon Sawan,😊😍
1554768110963478528,42xWeeD,Soontor52153342,1427597417524826115,,
1554768110963478528,42xWeeD,Bossmagic_st,953243922817474560,LA,
1554768110963478528,42xWeeD,KTanapron,2926681868,,
1554768110963478528,42xWeeD,SJTrrko,1498880625692282881,,
1554768110963478528,42xWeeD,GOODHIGH_V1,1566827618426507264,,"สนใจเข้ากลุ่ม ดอกคัดเกรดคุณภาพ หอม,สีตรงปก,กลิ่นตรงปก  เกรด Excotic"
1554768110963478528,42xWeeD,siththi84134074,1496027549524119554,,
1554768110963478528,42xWeeD,Dbbd5sELccebfUs,1430358949027467268,,
1554768110963478528,42xWeeD,aye_prawnapa,1379000756196438017,,Pra wna 🐳
1554768110963478528,42xWeeD,riseandshine619,1383855774456107009,,
1554768110963478528,42xWeeD,Kittithat_Mick,1540379780012380162,,"ขายกัญชา ไทย-นอกOG 
ปลีกส่ง🔥

line : @628upqba"
1554768110963478528,42xWeeD,Guaytiow,87223608,"Bangkok, Thailand",
1554768110963478528,42xWeeD,NMaprai,1480325553076854786,"นนทบุรี, ประเทศไทย",ส่งปลอดภัยแน่นอน แจ้งวัฒนะ กทม 24 ชม. ถ้าไม่นอน #exotic #กัญชานอก บัญชีธนาคารกสิกร ลงท้ายด้วย4696เท่านั้น ไม่มีปลายทางนะครับย้ำ!!🔞ไม่ขายเด็กต่ำกว่า18ปีนะครับ
1554768110963478528,42xWeeD,ggwinygg,1490010224660402180,,อยุ่ขอนแก่นจ้าา
1554768110963478528,42xWeeD,rphngs_inboyboy,1558783372159135745,,boyboy
1554768110963478528,42xWeeD,Tae17306756,1565020152965767169,"Rayong, Thailand",เกิดมาเพื่อกัญชา
1554768110963478528,42xWeeD,OneNightStoned,1564506774572781568,"Bangkok, Thailand",We’d love to serve you the best weed in bkk. Feel free to contact me. กัญชาออร์แกนิค100% ส่งแมสทั่วกรุงเทพ สนใจ dm หรือทักไลน์ https://t.co/DBsERgPjkz
1554768110963478528,42xWeeD,zweednlean99,1563404426450046977,"กรุงเทพมหานคร, ประเทศไทย","กัญชา Thaistick premium,Greencrack และ OG  รวมทั้ง  lean ยอดนิยม สำหรับสายเขียว & สาย purple drink ทั้งหลาย กลุ่มอัพเดทสินค้า โปรโมชั่น กดลิ้งด้านล่าง"
1554768110963478528,42xWeeD,KhankhiaoI,1547229758420725761,,Zzzžźż
1554768110963478528,42xWeeD,thirphathrdwn11,1515907942373294084,,
1554768110963478528,42xWeeD,aof1_aof,1530959796782137344,,
1554768110963478528,42xWeeD,blackseat1,1519265109637570560,,"21 y/o art , feeling , raining"
1554768110963478528,42xWeeD,YOEFT9fFhubOvVs,1444254618066718722,,
1554768110963478528,42xWeeD,420Door,1563935683362062336,,หรือทักมาที่ line ''@351ookbm '' กทม ส่งแกรปได้ ตจว ส่งเคอรี่ให้ครับ เอาเยอะนัดรับได้ครับผม    ใกล้ไกล จัดให้ครับ
1554768110963478528,42xWeeD,punzah_naruk007,893018975579258880,Thailand,อยากได้แบบไหนโปรดบอก
1554768110963478528,42xWeeD,Hee2Do,1481294262046441474,,"ระบายอารมณ์ พูดคุยเรื่องเสียว อยากช่วยสาวๆให้มีความสุขไปด้วยกัน ทำความรู้จักกันก่อน

นัดรังสิต ใกล้เคียง 

ส. 170 นน. 90 อาวุธ 52

ชวนเล่นหวย https://t.co/9aok7WhUpS"
1554768110963478528,42xWeeD,kittiphongthep,1530695118034182144,"อ.หนองไผ่, จ.เพชรบูรณ์",
1554768110963478528,42xWeeD,BlackSt48623475,1409719456457117698,,Quite Life
1554768110963478528,42xWeeD,GLNHGVSRFbE8D7C,1457432286702739456,,初めまして^ ^
1554768110963478528,42xWeeD,The_Stoned_Yoda,1512023420564877315,,
1554768110963478528,42xWeeD,xVyg7JAfKxb4vbr,1448948790455529474,สมุทรปราการ,"สนุกสนาน🎉
👉ว่าง👈"
1554768110963478528,42xWeeD,izeizex,1226150426241687558,นนทบุรี,เพราะความคิดคนมันห่วย สังคมเลยห่วยแตก ถุ้ย!😈
1554768110963478528,42xWeeD,formz1an,1484370404378804231,,เจ็บเพราะเขาก็พอ อย่าให้ช้ำเพราะเธอ
1554768110963478528,42xWeeD,Biw12861943,1423771445373538304,"อ.เมืองนครราชสีมา, จ.นครราชสีม",
1554768110963478528,42xWeeD,JipataJ415,1455621370738470912,,
1554768110963478528,42xWeeD,Borrza291,1163105357020839936,,รูปไม่หล่อ มองไม่เบื่อ
1554768110963478528,42xWeeD,viveliberte1932,2174231695,,
1554768110963478528,42xWeeD,Warodom65525082,1558847651889627136,,Warodom
1554768110963478528,42xWeeD,per_pom,1186681448675205120,,ปู๊น ปู๊น
1554768110963478528,42xWeeD,omagunse,1535241583347388416,,Sushijiro of Cannabis world
1554768110963478528,42xWeeD,webballstep12,1554807255530614784,,"จำหน่ายกัญชาเเละพันลำสำเร็จรูป
☘️ พันลำ OG ดอกนอก (BLUE CHEESE) กลิ่นเเน่นๆ 
กลิ่นดอกชัดเจน รับประกันความตอง ☘️

สั่งสินค้าได้ที่ : @181ioxph"
1554768110963478528,42xWeeD,MungseeNawapon,1532080898044092421,,
1554768110963478528,42xWeeD,OBun999,1556682890318323713,,"ขายสมุนไพร กัญชา OB
อัดแท่ง งานดอก OG
ส่งปลีก (ชนมือเชียงราย) #บ้านดู่
T.0646261123"
1554768110963478528,42xWeeD,kosin_chaiton,4921610299,"จ.สระบุรี, ประเทศไทย",
1554768110963478528,42xWeeD,WhoAmI93642409,1359522903398653954,,
63018215,BooK_Ku,Sweeddyshopv2,1567111030568001536,,"💎 Premium Product High Quality 💎

line 📲 https://t.co/Q4Sy87ZwGC

#Exotic #TopShelf 🏆

🛫 จัดส่งทั่วโลก 🛫

กทมนัดรับ หรือ Grab ✨️"
63018215,BooK_Ku,littlepigw,3181919426,,
63018215,BooK_Ku,WangmanowOg,1566205717433835520,"Bangkok Noi, Bangkok","🥦ดอกไม้ ราคาปลีก-ส่ง❗❗

👉 Top shelf, 👉 Exotic 🇹🇭 Thai Fram 

มีเครดิตเช็คได้  DM ✉️ มาเลยครับ"
63018215,BooK_Ku,Anne82673743,1564419363775848448,,
63018215,BooK_Ku,S_K_Y_S_K,1142008929477517313,,ผู้ชาย
63018215,BooK_Ku,AussadawutR,1546059205119188992,,
63018215,BooK_Ku,KokoNomsodJa,1442052993918984194,,กรรม คือ ผลของการกระทำ
63018215,BooK_Ku,tyguuhbvnji,1361883029648535553,,เรียบง่าย
63018215,BooK_Ku,changki24,774272402393968641,,
63018215,BooK_Ku,PEA_Th999,1557197007608877056,,
63018215,BooK_Ku,webballstep12,1554807255530614784,,"จำหน่ายกัญชาเเละพันลำสำเร็จรูป
☘️ พันลำ OG ดอกนอก (BLUE CHEESE) กลิ่นเเน่นๆ 
กลิ่นดอกชัดเจน รับประกันความตอง ☘️

สั่งสินค้าได้ที่ : @181ioxph"
63018215,BooK_Ku,Patsawat0227,513963720,,
63018215,BooK_Ku,Kagata39,1147975816535371776,"Nakhon Si Thammarat, Thailand",#หมอนวดผู้ชาย #นวดผ่อนคลาย #นวดอโรม่า  #เน้นมิตรภาพ #ความลับ #ไม่มีค่าบริการ#ไม่รับผู้ชายสาวประเภทสอง #นครศรีฯ #พัทลุง IDline: port121
63018215,BooK_Ku,PopPop17978649,1553765040964046848,,
63018215,BooK_Ku,thxpthaeb,1465537740682850307,,ดี
63018215,BooK_Ku,BangSmcy,1551092736186806272,ขุขันธ์,ชายแท้ ชอบผู้หญิง ชอบทอม ทักมา
63018215,BooK_Ku,khaykay3,1550595445830823936,,"มีกัญชา อัดแท่งคับ ขีด650 ครึ่ง350ส่งจิง1000000%มีเคดิต 
เนื้อเมาๆ  #ส่งฟรี ส่งทั่วไทย                มีปลายทางสนใจแชท มา 
หรือ  แอดไลค์0652425250"
63018215,BooK_Ku,2022Craft,1550458280060674048,,
63018215,BooK_Ku,Oil42470094,1494518761851736069,กทม,ชายวัย​ 40+ เขาว่าเด็จนะครับผม​ 😁😁นวดช่วยคู่​ นวดบิว
63018215,BooK_Ku,thirpha00028077,1547799608666951681,,
63018215,BooK_Ku,lithhead,1437931594472329222,,
63018215,BooK_Ku,WeeD_PLS,1542909187856150528,,"ส่งจริง มีเครดิต
สนใจสั่งซื้อแอดไลน์👉 https://t.co/RnNM9TQBrU 👈

#กัญชา #กัญชารังสิต  #กัญชาเสรี #กัญชาออแกนิค #รังสิต #มอกรุงเทพ #ดอกกัญชา #organic #og"
63018215,BooK_Ku,Yut19874,1419725116041175043,"อ.เมืองภูเก็ต, จ.ภูเก็ต","สาวกonepice ครบ4เข็มแล้วLove.KING🤟🤟🤟🇹🇭🇹🇭
ทวิตใหม่ติดตามกันด้วยนะครับ"
63018215,BooK_Ku,Lordo57043824,1418211358869393422,,
63018215,BooK_Ku,Oooohdad,1186210824542547968,,เมื่อวันเวลาที่เคลื่อนผ่านไป ทำให้คิดถึงวันวานที่ผ่านมา
63018215,BooK_Ku,pocaHaotas,980357957673148416,บนหัวใครสักคนที่รู้สึกหนักๆ,#TheRetrophile #เหาเหาหน้าด้านเรคคอร์ด #แอคเจ้ากรรมนายเวร #เหาเหานักข่าวบันเทิง #สุนทรโวเหา #เหาสายบุญรี่ #ครัวจินตนาการbyเหาๆ #เหาร้อนรี่ขอรีวิว
63018215,BooK_Ku,SUNANSINGCHAN,1178574186,,
